"id","listing_url","last_scraped","host_id","host_name","host_since","host_location","neighbourhood","neighbourhood_cleansed","zipcode","property_type","room_type","accommodates","bathrooms","bedrooms","beds","price","number_of_reviews","review_scores_rating","cancellation_policy","amenities"
470192,"https://www.airbnb.com/rooms/470192","2016-07-04",2332753,"Carole Et Laurent","2012-05-09","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",6,1,3,4,176,5,100,"moderate","TV|Cable TV|Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Dryer|Essentials|Shampoo"
8347064,"https://www.airbnb.com/rooms/8347064","2016-07-04",43996655,"Hélène","2015-09-12","FR","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",4,2,2,2,125,2,90,"strict","Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Smoke Detector|Essentials|Shampoo"
10817502,"https://www.airbnb.com/rooms/10817502","2016-07-04",15749428,"Matthieu","2014-05-20","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",6,2,3,4,125,0,NA,"moderate","TV|Internet|Wireless Internet|Kitchen|Buzzer/Wireless Intercom|Heating|Family/Kid Friendly|Washer|Dryer|Essentials|24-Hour Check-in|Hair Dryer|Iron"
6936822,"https://www.airbnb.com/rooms/6936822","2016-07-04",9536636,"Odile","2013-10-20","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",5,3,4,4,220,2,80,"flexible","TV|Internet|Wireless Internet|Kitchen|Hot Tub|Indoor Fireplace|Buzzer/Wireless Intercom|Heating|Family/Kid Friendly|Washer|Essentials"
3110330,"https://www.airbnb.com/rooms/3110330","2016-07-04",15807958,"Gregory","2014-05-21","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",6,1,3,3,150,2,80,"flexible","Internet|Wireless Internet|Kitchen|Smoking Allowed|Pets live on this property|Cat(s)|Indoor Fireplace|Buzzer/Wireless Intercom|Heating|Family/Kid Friendly|Washer|First Aid Kit|Safety Card|Fire Extinguisher|Essentials|Shampoo"
4487880,"https://www.airbnb.com/rooms/4487880","2016-07-03",23283349,"Emmanuel","2014-11-03","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",9,2,4,5,276,21,82,"strict","TV|Internet|Wireless Internet|Kitchen|Smoking Allowed|Pets Allowed|Breakfast|Pets live on this property|Cat(s)|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Essentials|Shampoo|24-Hour Check-in|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
12930226,"https://www.airbnb.com/rooms/12930226","2016-07-04",65774741,"Karen","2016-04-04","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","Townhouse","Entire home/apt",9,2,4,7,219,1,100,"moderate","TV|Cable TV|Internet|Wireless Internet|Kitchen|Heating|Family/Kid Friendly|Washer|Dryer|Smoke Detector|Essentials|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
2676478,"https://www.airbnb.com/rooms/2676478","2016-07-03",13580747,"Isabelle","2014-03-26","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Private room",2,1,1,1,50,0,NA,"flexible","Internet|Kitchen|Pets live on this property|Cat(s)|Other pet(s)|Heating|Family/Kid Friendly|Washer|Smoke Detector|Essentials|Shampoo|Hair Dryer|Iron"
13339054,"https://www.airbnb.com/rooms/13339054","2016-07-04",75545269,"Alois","2016-06-03","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75020","Townhouse","Private room",2,1,1,1,27,0,NA,"flexible","TV|Wireless Internet|Kitchen|Smoking Allowed|Pets Allowed|Breakfast|Heating|Family/Kid Friendly|Suitable for Events|Washer|Essentials|Shampoo|Hangers|translation missing: en.hosting_amenity_50"
9442661,"https://www.airbnb.com/rooms/9442661","2016-07-04",2865311,"Léo","2012-07-08","Paris, Île-de-France, France","Buttes-Chaumont - Belleville","Buttes-Chaumont","75019","House","Entire home/apt",2,1,0,1,35,16,96,"moderate","Internet|Wireless Internet|Kitchen|Smoking Allowed|Pets Allowed|Indoor Fireplace|Buzzer/Wireless Intercom|Heating|Washer|Smoke Detector|First Aid Kit|Safety Card|Essentials|Shampoo|24-Hour Check-in|Hangers|Hair Dryer|Iron|Laptop Friendly Workspace"
